id_distrito;id_canton;nombre;cant_habitantes
386;64;Monte Romo;671
387;64;Puerto Carrillo;1574
388;64;Huacas;707
389;65;Puntarenas;8335
390;65;Pitahaya;2211
391;65;Chomes;5522
392;65;Lepanto;9502
393;65;Paquera;6686
394;65;Manzanillo;2811
395;65;Guacimal;923
396;65;Barranca;30650
397;65;Monte Verde;4155
398;65;Isla del Coco;0
399;65;Cóbano;7494
400;65;Chacarita;17434
401;65;Chira;1576
402;65;Acapulco;1296
403;65;El Roble;15759
404;65;Arancibia;665
405;66;Espíritu Santo;15686
406;66;San Juan Grande;6171
407;66;Macacona;4742
408;66;San Rafael;1294
409;66;San Jerónimo;751
410;67;Buenos Aires;21063
411;67;Volcán;3815
412;67;Potrero Grande;5956
413;67;Boruca;3074
414;67;Pilas;1659
415;67;Colinas;1371
416;67;Chánguena;2631
417;67;Biolley;2455
418;67;Brunka;3220
419;68;Miramar;8298
420;68;Unión;1249
421;68;San Isidro;3403
422;69;Puerto Cortés;7969
423;69;Palmar;9815
424;69;Sierpe;4205
425;69;Bahía Ballena;3306
426;69;Piedras Blancas;4138
427;70;Quepos;19858
428;70;Savegre;3326
429;70;Naranjito;3677
430;71;Golfito;11284
431;71;Puerto Jiménez;8789
432;71;Guaycará;12918
433;71;Pavón;6159
434;72;San Vito;14834
435;72;Sabalito;10984
436;72;Aguabuena;6286
437;72;Limoncito;3591
438;72;Pittier;2758
439;73;Parrita;16115
440;74;Corredores;17250
441;74;La Cuesta;3906
442;74;Canoas;11527
443;74;Laurel;9148
444;75;Jacó;11685
445;75;Tárcoles;5544
446;76;Limón;61072
447;76;Valle  La Estrella;17908
448;76;Río Blanco;8307
449;76;Matama;7128
450;77;Guápiles;36469
451;77;Jiménez;10501
452;77;Rita;24041
453;77;Roxana;16790
454;77;Cariari;34176
455;77;Colorado;3985
456;78;Siquirres;31637
457;78;Pacuarito;8756
458;78;Florida;2184
459;78;Germania;2471
460;78;Cairo;6082
461;78;Alegría;5656
462;79;Bratsi;7318
463;79;Sixaola;8861
464;79;Cahuita;8293
465;79;Telire;6240
466;80;Matina;9142
467;80;Batán;16532
468;80;Carrandi;12047
469;81;Guácimo;18326
470;81;Mercedes;1707
471;81;Pocora;6432
472;81;Río Jiménez;8742
473;81;Duacarí;6059
